TABLE_NAME	pos	COLUMN_NAME	DATA_TYPE	max_len	num_prec	num_scale	nullable
----------	---	-----------	---------	-------	--------	---------	--------
_AccumRg5269	1	_Period	datetime				NO
_AccumRg5269	2	_RecorderTRef	binary	4			NO
_AccumRg5269	3	_RecorderRRef	binary	16			NO
_AccumRg5269	4	_LineNo	numeric		9	0	NO
_AccumRg5269	5	_Active	binary	1			NO
_AccumRg5269	6	_RecordKind	numeric		1	0	NO
_AccumRg5269	7	_Fld5270RRef	binary	16			NO
_AccumRg5269	8	_Fld5271_TYPE	binary	1			NO
_AccumRg5269	9	_Fld5271_RTRef	binary	4			NO
_AccumRg5269	10	_Fld5271_RRRef	binary	16			NO
_AccumRg5269	11	_Fld5272RRef	binary	16			NO
_AccumRg5269	12	_Fld5273RRef	binary	16			NO
_AccumRg5269	13	_Fld5274	numeric		15	2	NO
_AccumRg5269	14	_Fld5275	numeric		15	2	NO
_AccumRg5278	1	_Period	datetime				NO
_AccumRg5278	2	_RecorderTRef	binary	4			NO
_AccumRg5278	3	_RecorderRRef	binary	16			NO
_AccumRg5278	4	_LineNo	numeric		9	0	NO
_AccumRg5278	5	_Active	binary	1			NO
_AccumRg5278	6	_RecordKind	numeric		1	0	NO
_AccumRg5278	7	_Fld5279RRef	binary	16			NO
_AccumRg5278	8	_Fld5280_TYPE	binary	1			NO
_AccumRg5278	9	_Fld5280_RTRef	binary	4			NO
_AccumRg5278	10	_Fld5280_RRRef	binary	16			NO
_AccumRg5278	11	_Fld5281_TYPE	binary	1			NO
_AccumRg5278	12	_Fld5281_RTRef	binary	4			NO
_AccumRg5278	13	_Fld5281_RRRef	binary	16			NO
_AccumRg5278	14	_Fld5282RRef	binary	16			NO
_AccumRg5278	15	_Fld5283RRef	binary	16			NO
_AccumRg5278	16	_Fld5284RRef	binary	16			NO
_AccumRg5278	17	_Fld5285	numeric		15	2	NO
_AccumRg5289	1	_Period	datetime				NO
_AccumRg5289	2	_RecorderTRef	binary	4			NO
_AccumRg5289	3	_RecorderRRef	binary	16			NO
_AccumRg5289	4	_LineNo	numeric		9	0	NO
_AccumRg5289	5	_Active	binary	1			NO
_AccumRg5289	6	_RecordKind	numeric		1	0	NO
_AccumRg5289	7	_Fld5290RRef	binary	16			NO
_AccumRg5289	8	_Fld5291RRef	binary	16			NO
_AccumRg5289	9	_Fld5292_TYPE	binary	1			NO
_AccumRg5289	10	_Fld5292_RTRef	binary	4			NO
_AccumRg5289	11	_Fld5292_RRRef	binary	16			NO
_AccumRg5289	12	_Fld5293RRef	binary	16			NO
_AccumRg5289	13	_Fld5294	numeric		15	2	NO
_AccumRg5289	14	_Fld5295	numeric		15	2	NO
_AccumRg5298	1	_Period	datetime				NO
_AccumRg5298	2	_RecorderTRef	binary	4			NO
_AccumRg5298	3	_RecorderRRef	binary	16			NO
_AccumRg5298	4	_LineNo	numeric		9	0	NO
_AccumRg5298	5	_Active	binary	1			NO
_AccumRg5298	6	_RecordKind	numeric		1	0	NO
_AccumRg5298	7	_Fld5299_TYPE	binary	1			NO
_AccumRg5298	8	_Fld5299_RTRef	binary	4			NO
_AccumRg5298	9	_Fld5299_RRRef	binary	16			NO
_AccumRg5298	10	_Fld5300RRef	binary	16			NO
_AccumRg5298	11	_Fld5301RRef	binary	16			NO
_AccumRg5298	12	_Fld5302RRef	binary	16			NO
_AccumRg5298	13	_Fld5303RRef	binary	16			NO
_AccumRg5298	14	_Fld5304RRef	binary	16			NO
_AccumRg5298	15	_Fld5305	numeric		15	3	NO
_AccumRg5309	1	_Period	datetime				NO
_AccumRg5309	2	_RecorderTRef	binary	4			NO
_AccumRg5309	3	_RecorderRRef	binary	16			NO
_AccumRg5309	4	_LineNo	numeric		9	0	NO
_AccumRg5309	5	_Active	binary	1			NO
_AccumRg5309	6	_Fld5310_TYPE	binary	1			NO
_AccumRg5309	7	_Fld5310_RTRef	binary	4			NO
_AccumRg5309	8	_Fld5310_RRRef	binary	16			NO
_AccumRg5309	9	_Fld5311RRef	binary	16			NO
_AccumRg5309	10	_Fld5312RRef	binary	16			NO
