table_name	index_name	type_desc	is_unique	is_pk	key_columns
----------	----------	---------	---------	-----	-----------
_AccumRg5269	_AccumRg5269_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5269	_AccumRg5269_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5278	_AccumRg5278_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5278	_AccumRg5278_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5278	_AccumRg5278_ByDims5286_RTRN	NONCLUSTERED	1	0	_Fld5279RRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5289	_AccumRg5289_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5289	_AccumRg5289_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5298	_AccumRg5298_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5298	_AccumRg5298_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5298	_AccumRg5298_ByDims5306_RTRN	NONCLUSTERED	1	0	_Fld5302RRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5309	_AccumRg5309_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5309	_AccumRg5309_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5309	_AccumRg5309_ByDims5324_RTRN	NONCLUSTERED	1	0	_Fld5310_TYPE, _Fld5310_RTRef, _Fld5310_RRRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5309	_AccumRg5309_ByDims5325_RTRN	NONCLUSTERED	1	0	_Fld5311RRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5309	_AccumRg5309_ByDims5326_RTRN	NONCLUSTERED	1	0	_Fld5312RRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5309	_AccumRg5309_ByDims5327_RTRN	NONCLUSTERED	1	0	_Fld5313RRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5330	_AccumRg5330_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5330	_AccumRg5330_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5338	_AccumRg5338_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5338	_AccumRg5338_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5346	_AccumRg5346_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5346	_AccumRg5346_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5356	_AccumRg5356_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5356	_AccumRg5356_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5365	_AccumRg5365_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5365	_AccumRg5365_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5365	_AccumRg5365_ByDims5371_RTRN	NONCLUSTERED	1	0	_Fld5366RRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5374	_AccumRg5374_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5374	_AccumRg5374_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5374	_AccumRg5374_ByDims5390_RTRN	NONCLUSTERED	1	0	_Fld5375RRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5374	_AccumRg5374_ByDims5391_RTRN	NONCLUSTERED	1	0	_Fld5378RRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5394	_AccumRg5394_ByPeriod_TRN	CLUSTERED	1	0	_Period, _RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5394	_AccumRg5394_ByRecorder_RN	NONCLUSTERED	1	0	_RecorderTRef, _RecorderRRef, _LineNo
_AccumRg5394	_AccumRg5394_ByDims5406_RTRN	NONCLUSTERED	1	0	_Fld5398RRef, _Period, _RecorderTRef, _RecorderRRef, _LineNo
