table_name	row_count	size_mb
----------	---------	-------
_AccumRg5269	78533	11.12
_AccumRg5278	71169	12.18
_AccumRg5289	0	.00
_AccumRg5298	0	.00
_AccumRg5309	50299	15.24
_AccumRg5330	44424	10.02
_AccumRg5338	0	.00
_AccumRg5346	68015	11.05
_AccumRg5356	15968	5.02
_AccumRg5365	0	.00
_AccumRg5374	185757	47.43
_AccumRg5394	3	.07
_AccumRg5409	67961	17.80
_AccumRg5429	0	.00
_AccumRg5438	0	.00
_AccumRg5454	0	.00
_AccumRg5460	0	.00
_AccumRg5476	0	.00
_AccumRg5489	0	.00
_AccumRg5498	0	.00
_AccumRg5507	331629	84.62
_AccumRg5529	0	.00
_AccumRg5550	0	.00
_AccumRg5564	0	.00
_AccumRg5579	0	.00
_AccumRg5594	0	.00
_AccumRg5604	77704	19.12
_AccumRg5627	0	.00
_AccumRg5634	77399	15.80
_AccumRg5650	0	.00
_AccumRg5662	0	.00
_AccumRg5668	120830	18.49
_AccumRg5678	0	.00
_AccumRg5690	0	.00
_AccumRg5697	0	.00
_AccumRg5705	0	.00
_AccumRg5716	107407	15.62
_AccumRg5727	0	.00
_AccumRg5738	0	.00
_AccumRg5750	0	.00
_AccumRg5763	0	.00
_AccumRg5775	0	.00
_AccumRg5788	333278	45.68
_AccumRg5798	0	.00
_AccumRg5810	0	.00
_AccumRg5824	0	.00
_AccumRg6608	328746	34.49
_AccumRg6719	152041	20.43
_AccumRg6839	23311	5.52
_AccumRg7428	45793	8.24
_AccumRg7673	148	.20
_AccumRgChngR5277	77954	8.45
_AccumRgChngR5288	69071	7.39
_AccumRgChngR5297	95	.07
_AccumRgChngR5308	37	.07
_AccumRgChngR5329	49394	5.45
_AccumRgChngR5337	49394	5.45
_AccumRgChngR5345	95	.07
_AccumRgChngR5355	40392	4.27
_AccumRgChngR5364	8343	1.08
_AccumRgChngR5373	0	.00
_AccumRgChngR5393	66512	6.39
_AccumRgChngR5408	2	.07
_AccumRgChngR5428	1168	.20
_AccumRgChngR5437	0	.00
_AccumRgChngR5453	30	.07
_AccumRgChngR5528	36412	4.02
_AccumRgChngR5549	149	.20
_AccumRgChngR5563	65	.07
_AccumRgChngR5578	0	.00
_AccumRgChngR5593	1	.07
_AccumRgChngR5603	149	.20
_AccumRgChngR5626	30566	3.39
_AccumRgChngR5633	149	.20
_AccumRgChngR5649	30403	3.39
_AccumRgChngR5661	55	.07
_AccumRgChngR5667	95	.07
_AccumRgChngR5677	110436	8.25
_AccumRgChngR5689	149	.20
_AccumRgChngR5696	95	.07
_AccumRgChngR5715	7	.07
_AccumRgChngR5726	47818	4.52
_AccumRgChngR5737	156	.20
_AccumRgChngR5749	149	.20
_AccumRgChngR5762	149	.20
_AccumRgChngR5774	0	.00
_AccumRgChngR5787	0	.00
_AccumRgChngR5797	37151	4.14
_AccumRgChngR5809	1158	.20
_AccumRgChngR5823	149	.20
_AccumRgChngR5837	0	.00
_AccumRgOpt	50	.07
_AccumRgT5276	181159	21.12
_AccumRgT5287	746842	101.87
_AccumRgT5296	0	.00
_AccumRgT5307	0	.00
_AccumRgT5336	1974	.38
_AccumRgT5344	0	.00
_AccumRgT5354	17894	4.80
_AccumRgT5363	10132	2.45
_AccumRgT5372	0	.00
_AccumRgT5392	2789920	657.31
_AccumRgT5407	42	.07
_AccumRgT5452	0	.00
_AccumRgT5497	0	.00
_AccumRgT5506	0	.00
_AccumRgT5527	544290	96.88
_AccumRgT5548	0	.00
_AccumRgT5562	0	.00
_AccumRgT5660	0	.00
_AccumRgT5666	0	.00
_AccumRgT5676	357591	46.50
_AccumRgT5688	0	.00
_AccumRgT5695	0	.00
_AccumRgT5714	0	.00
_AccumRgT5725	903647	104.31
_AccumRgT5736	0	.00
_AccumRgT5748	0	.00
_AccumRgT5761	0	.00
_AccumRgT5773	0	.00
_AccumRgT5786	0	.00
_AccumRgT5796	456487	50.00
_AccumRgT5808	0	.00
